STD_YM,SEX_CD,AGE_CD,TIME_CD,PURH_AMT
201807,2,3,2,11000
201910,2,6,6,5000
201809,1,3,4,23000
201808,2,6,6,9000
201812,2,4,4,8000
201912,2,3,5,7000
201806,2,2,4,12000
201805,2,5,4,6000
201912,2,3,3,2000
201904,2,4,5,2000
201909,2,5,5,7000
201908,1,4,6,4000
201902,2,6,5,2000
201811,2,4,5,8000
201808,2,6,3,1000
201807,1,3,4,3000
201904,2,7,4,2000
201806,1,6,6,5000
201910,2,6,6,2000
201904,2,4,2,1000
201904,2,3,3,5000
201909,2,6,6,4000
201803,2,5,5,2000
201809,2,4,6,13000
201812,1,4,5,8000
201904,2,6,5,11000
201811,2,6,4,4000
201905,2,2,5,1000
201910,2,3,5,8000
201903,2,3,4,15000
201912,2,6,5,1000
201805,2,4,6,6000
201901,2,4,5,6000
201907,2,2,5,52000
201808,1,4,5,3000
201906,2,4,5,5000
201910,1,5,3,20000
201806,1,6,2,2000
201803,2,6,4,2000
201806,1,4,3,2000
201912,2,4,3,3000
201904,2,4,3,3000
201812,1,4,6,23000
201806,2,3,4,2000
201908,2,4,5,4000
201807,2,3,4,3000
201905,2,3,4,3000
201807,2,3,4,6000
201909,2,3,4,10000
201804,2,5,5,3000
201806,2,3,4,9000
201906,2,5,3,5000
201808,2,4,3,4000
201908,2,2,4,3000
201812,1,5,4,5000
201906,1,3,4,2000
201911,2,5,5,1000
201807,2,3,3,1000
201806,2,5,5,7000
201812,1,6,5,5000
201812,2,3,5,2000
201903,2,3,5,47000
201904,2,3,3,3000
201812,2,5,4,21000
201909,2,5,4,9000
201811,2,4,5,2000
201905,2,4,5,3000
201803,2,7,5,8000
201809,2,5,5,54000
201906,2,3,6,4000
201801,2,3,5,18000
201904,2,4,5,2000
201806,1,4,5,6000
201810,1,5,1,6000
201801,2,6,5,18000
201908,2,3,4,1000
201809,2,7,5,9000
201909,2,4,3,1000
201812,1,6,4,4000
201803,2,5,3,3000
201911,2,4,4,5000
201903,2,5,6,6000
201907,1,5,5,1000
201902,1,5,5,2000
201908,2,3,4,4000
201806,2,5,5,6000
201907,2,5,4,2000
201808,2,4,2,1000
201809,2,4,2,7000
201803,1,4,4,1000
201901,2,4,5,2000
201810,1,5,4,27000
201902,1,6,4,10000
201804,2,7,5,6000
201910,1,3,4,7000
201911,2,4,5,2000
201808,2,3,3,11000
201912,2,4,5,4000
201907,2,5,2,3000
201907,2,4,5,4000
201802,2,4,3,8000
201908,2,5,4,4000
201905,2,5,3,2000
201808,1,3,5,6000
201910,1,3,4,284000
201909,1,3,5,2000
201804,2,5,2,3000
201904,1,5,3,7000
201804,1,3,5,2000
201903,2,2,5,22000
201807,1,4,5,9000
201808,2,5,6,2000
201804,2,2,3,2000
201810,1,5,3,2000
201803,2,3,3,2000
201808,2,3,3,7000
201801,2,4,3,12000
201801,1,5,5,5000
201807,2,2,2,4000
201903,2,5,5,4000
201801,1,3,4,39000
201812,1,5,4,12000
201905,2,3,5,5000
201801,2,4,5,8000
201904,1,3,5,4000
201801,2,4,5,2000
201911,1,3,6,3000
201803,1,4,3,19000
201904,2,3,4,20000
201805,2,6,3,1000
201909,2,5,5,13000
201912,2,5,5,1000
201802,2,3,6,6000
201901,2,2,5,7000
201803,2,6,3,3000
201801,2,4,4,8000
201904,2,7,5,8000
201810,1,2,5,5000
201807,2,5,6,8000
201904,2,6,4,2000
201809,2,5,1,7000
201805,2,6,6,8000
201808,1,6,4,1000
201910,1,3,5,3000
201910,2,2,4,12000
201802,2,5,5,23000
201812,1,5,5,1000
201805,1,5,3,13000
201806,2,3,3,13000
201910,2,4,6,3000
201807,2,3,4,5000
201905,1,4,5,5000
201902,2,4,4,1000
201812,2,5,6,25000
201809,2,5,4,6000
201903,2,4,6,5000
201807,2,3,4,8000
201912,2,7,6,4000
201801,1,4,5,1000
201809,2,4,3,1000
201911,1,2,5,2000
201804,1,3,5,3000
201907,1,3,5,3000
201805,2,5,5,44000
201909,1,4,5,11000
201805,2,2,2,8000
201803,2,6,2,2000
201808,2,5,5,4000
201902,1,4,5,1000
201903,2,5,5,8000
201802,1,4,4,7000
201808,2,7,5,5000
201811,2,6,5,2000
201912,2,3,5,48000
201903,2,4,4,8000
201806,2,7,3,3000
201804,1,6,2,1000
201802,2,3,5,3000
201804,2,4,5,2000
201909,2,4,5,6000
201812,2,7,4,3000
201910,2,4,5,4000
201908,2,4,4,5000
201809,2,6,5,28000
201905,2,3,4,7000
201801,2,3,5,1000
201912,1,2,2,1000
201902,2,5,6,10000
201901,2,5,5,8000
201908,2,4,5,17000
201909,1,6,6,6000
201908,2,5,5,6000
201908,1,3,4,14000
201809,2,2,6,5000
201908,1,5,5,29000
201911,2,5,4,2000
201904,2,6,4,4000
201811,2,7,5,3000
201908,2,4,6,15000
201809,2,3,4,2000
201808,2,4,4,2000
201907,1,7,3,2000
201803,2,3,4,5000
201912,1,5,5,2000
201803,1,7,5,3000
201806,1,6,4,3000
201812,2,2,2,3000
201803,2,1,5,6000
201801,2,2,5,2000
201802,2,4,4,6000
201803,1,5,6,4000
201812,2,4,5,110000
201905,1,3,4,4000
201802,2,4,5,9000
201907,2,4,5,14000
201910,1,5,5,4000
201912,1,7,5,4000
201812,1,4,6,3000
201804,1,5,3,1000
201806,2,6,5,4000
201903,2,6,3,13000
201804,2,4,4,10000
201812,2,5,5,4000
201803,2,4,5,4000
201808,1,3,3,5000
201912,2,6,4,9000
201808,2,4,3,1000
201811,2,4,4,6000
201808,2,4,5,10000
201806,2,5,5,66000
201806,2,4,4,1000
201908,2,4,3,17000
201907,2,4,5,4000
201901,2,4,5,4000
201801,2,5,5,4000
201807,1,2,5,1000
201802,1,4,6,14000
201805,1,4,5,2000
201906,2,6,3,9000
201801,2,4,5,7000
201910,2,4,5,5000
201809,2,5,6,1000
201801,2,4,5,6000
201911,1,4,5,1000
201810,2,4,6,9000
201908,2,5,3,10000
201910,1,6,4,19000
201805,2,4,5,10000
201808,1,4,3,4000
201901,2,3,3,3000
201801,1,3,4,29000
201902,2,4,4,7000
201802,2,5,6,8000
201908,2,5,4,3000
201809,2,6,5,4000
201804,2,4,5,6000
201805,2,4,5,3000
201901,2,5,5,2000
201811,2,3,5,20000
201812,2,4,3,7000
201805,2,4,4,1000
201810,1,6,4,2000
201803,1,5,5,18000
201909,2,4,3,40000
201809,1,5,5,1000
201911,2,6,6,6000
201910,1,3,5,5000
201911,1,3,3,5000
201904,2,2,6,10000
201810,1,5,5,6000
201907,2,5,5,21000
201802,2,5,5,2000
201807,2,4,4,11000
201804,2,5,4,2000
201808,2,5,2,2000
201809,2,5,4,2000
201904,2,4,2,2000
201812,2,4,6,2000
201805,2,3,5,10000
201912,2,4,4,5000
201907,1,6,4,8000
201803,2,6,4,24000
201809,2,4,4,4000
201909,2,5,3,21000
201909,2,7,5,3000
201911,2,4,4,1000
201801,1,2,3,5000
201801,2,6,5,1000
201905,1,3,4,16000
201803,2,4,3,1000
201805,2,4,3,2000
201907,2,3,5,3000
201912,2,5,4,1000
201908,2,5,4,6000
201810,2,5,4,13000
201806,1,4,6,1000
201810,2,4,5,5000
201811,2,2,4,10000
201811,2,5,4,12000
201801,2,4,6,3000
201907,1,3,5,13000
201910,2,4,3,7000
201907,2,5,4,5000
201907,1,5,6,10000
201912,2,5,4,1000
201908,2,5,5,5000
201801,2,3,5,9000
201810,2,4,5,3000
201902,1,4,3,19000
201911,1,6,5,5000
201806,2,5,5,6000
201808,2,5,5,1000
201901,2,3,4,15000
201910,2,3,4,7000
201902,1,2,5,51000
201812,2,4,3,41000
201906,1,3,3,5000
201809,2,4,5,9000
201807,1,2,5,2000
201812,2,7,6,2000
201906,2,4,4,20000
201907,1,4,3,7000
201904,2,6,2,2000
201805,2,3,2,1000
201812,1,5,4,3000
201802,2,6,5,10000
201906,2,2,2,13000
201901,1,3,3,2000
201808,1,4,5,2000
201805,1,3,6,27000
201905,2,4,4,6000
201908,2,4,2,4000
201901,2,4,4,155000
201909,2,4,5,5000
201805,2,2,5,5000
201901,2,4,3,1000
201808,2,3,5,2000
201808,2,4,4,1000
201806,2,6,5,2000
201812,2,5,3,3000
201808,2,4,4,5000
201907,1,4,4,4000
201902,2,4,5,4000
201806,2,4,6,3000
201911,2,5,4,8000
201812,2,4,5,3000
201810,1,5,3,23000
201901,2,3,6,3000
201811,2,5,6,1000
201805,2,3,5,13000
201907,1,6,5,49000
201911,1,3,4,1000
201909,2,4,4,16000
201810,2,5,5,13000
201902,2,6,5,2000
201907,1,4,5,16000
201809,2,3,5,26000
201901,2,7,3,5000
201808,2,6,2,7000
201806,2,4,4,2000
201905,2,3,3,2000
201901,1,4,5,1000
201908,2,4,5,5000
201804,2,4,6,17000
201903,2,7,6,8000
201906,1,4,5,22000
201807,2,3,4,5000
201912,1,5,3,11000
201909,2,5,5,24000
201907,2,2,4,1000
201912,2,7,2,2000
201909,2,6,6,4000
201809,2,2,5,38000
201801,1,5,5,6000
201907,2,4,5,1000
201911,1,5,5,3000
201803,2,5,4,16000
201805,1,4,5,6000
201811,1,6,5,21000
201809,2,6,4,1000
201803,2,3,3,33000
201904,2,4,3,21000
