적용년월,시도코드,시도명,사용건수,인원수,사용금액
2009-04,41,경기도,86420,52787,2348144113
2009-04,42,강원도,8814,5346,234778078
2009-04,43,충청북도,9155,6098,266652820
2009-04,44,충청남도,11215,7087,309325266
2009-04,45,전라북도,11604,7245,315357244
2009-04,46,전라남도,9528,5854,249578519
2009-04,47,경상북도,13796,8758,385319935
2009-04,48,경상남도,20312,12705,556994215
2009-04,50,제주특별자치도,4288,2570,111569220
2009-05,11,서울특별시,58459,38058,1625236297
2009-05,26,부산광역시,19154,12204,504891551
2009-05,27,대구광역시,14205,9778,408937500
2009-05,28,인천광역시,14771,9467,375460660
2009-05,29,광주광역시,11370,7574,307099089
2009-05,30,대전광역시,9756,6969,284874854
2009-05,31,울산광역시,7801,4709,188971530
2009-05,36,세종특별자치시,225,141,5549380
2009-05,41,경기도,73425,48703,1966240380
2009-05,42,강원도,7649,5040,201097143
2009-05,43,충청북도,8229,5739,233345601
2009-05,44,충청남도,9968,6741,269658908
2009-05,45,전라북도,10085,6747,266312415
2009-05,46,전라남도,8499,5583,216535488
2009-05,47,경상북도,11972,8173,328443110
2009-05,48,경상남도,17777,11959,474728692
2009-05,50,제주특별자치도,3664,2431,93557120
2009-06,11,서울특별시,53043,35785,1479680925
2009-06,26,부산광역시,17469,11499,459786765
2009-06,27,대구광역시,12888,9216,372321880
2009-06,28,인천광역시,13266,8843,336057160
2009-06,29,광주광역시,10066,7117,269687438
2009-06,30,대전광역시,8841,6552,257251320
2009-06,31,울산광역시,7225,4518,175399209
2009-06,36,세종특별자치시,185,126,4479700
2009-06,41,경기도,66160,45735,1786876047
2009-06,42,강원도,6815,4734,177954356
2009-06,43,충청북도,7199,5372,205829300
2009-06,44,충청남도,8920,6324,243443790
2009-06,45,전라북도,9214,6496,241844381
2009-06,46,전라남도,7795,5385,196441434
2009-06,47,경상북도,10792,7692,297999922
2009-06,48,경상남도,16016,11409,425015440
2009-06,50,제주특별자치도,3558,2441,90957450
2009-07,11,서울특별시,54340,35962,1519853349
2009-07,26,부산광역시,18068,11511,473996409
2009-07,27,대구광역시,13065,9106,377243502
2009-07,28,인천광역시,13506,8920,339478892
2009-07,29,광주광역시,10487,7251,282848870
2009-07,30,대전광역시,8916,6532,263319020
2009-07,31,울산광역시,7934,4625,187756530
2009-07,36,세종특별자치시,177,120,4081780
2009-07,41,경기도,66847,45436,1801348314
2009-07,42,강원도,6930,4747,179436357
2009-07,43,충청북도,7588,5496,216384570
2009-07,44,충청남도,9161,6339,249170400
2009-07,45,전라북도,9474,6540,246534487
2009-07,46,전라남도,7801,5368,195438512
2009-07,47,경상북도,10883,7612,299944643
2009-07,48,경상남도,16458,11443,440996940
2009-07,50,제주특별자치도,3589,2431,91753460
2009-08,11,서울특별시,52782,35605,1478049077
2009-08,26,부산광역시,17895,11682,469963805
2009-08,27,대구광역시,13276,9310,380278700
2009-08,28,인천광역시,13342,8925,335314727
2009-08,29,광주광역시,10689,7447,287182902
2009-08,30,대전광역시,9246,6722,271497450
2009-08,31,울산광역시,7489,4561,175702750
2009-08,36,세종특별자치시,171,116,4237100
2009-08,41,경기도,65724,45670,1780156199
2009-08,42,강원도,6970,4867,182726788
2009-08,43,충청북도,7701,5551,220577400
2009-08,44,충청남도,9152,6383,248564126
2009-08,45,전라북도,9305,6611,244989000
2009-08,46,전라남도,7902,5388,197172351
2009-08,47,경상북도,10780,7730,295935205
2009-08,48,경상남도,16451,11632,441222080
2009-08,50,제주특별자치도,3688,2513,93199820
2009-09,11,서울특별시,53862,36056,1515723780
2009-09,26,부산광역시,18134,11853,483222863
2009-09,27,대구광역시,13487,9460,388596690
2009-09,28,인천광역시,13940,9159,355802055
2009-09,29,광주광역시,10623,7489,288679742
2009-09,30,대전광역시,9288,6777,274081330
2009-09,31,울산광역시,7491,4552,179361028
2009-09,36,세종특별자치시,161,121,3774360
2009-09,41,경기도,68290,46871,1877850665
2009-09,42,강원도,7079,4889,186805336
2009-09,43,충청북도,7678,5606,222580650
2009-09,44,충청남도,9538,6614,260257650
2009-09,45,전라북도,9515,6768,248825310
2009-09,46,전라남도,7884,5443,198269350
2009-09,47,경상북도,10951,7780,301301796
2009-09,48,경상남도,16872,11838,456173448
2009-09,50,제주특별자치도,3706,2558,95086610
2009-10,11,서울특별시,52523,35678,1474022709
2009-10,26,부산광역시,18174,11956,487490514
2009-10,27,대구광역시,13460,9605,386367266
2009-10,28,인천광역시,13590,9168,353708824
2009-10,29,광주광역시,10831,7611,292869460
2009-10,30,대전광역시,9332,6899,276740080
2009-10,31,울산광역시,7447,4538,180082232
2009-10,36,세종특별자치시,165,118,4217030
2009-10,41,경기도,66318,46321,1825108406
2009-10,42,강원도,6858,4865,179880182
2009-10,43,충청북도,7696,5653,221980680
2009-10,44,충청남도,9280,6581,250878280
2009-10,45,전라북도,9562,6790,250352280
2009-10,46,전라남도,7749,5413,192616626
2009-10,47,경상북도,10687,7718,293393510
2009-10,48,경상남도,16658,11862,451530500
2009-10,50,제주특별자치도,3760,2593,96149710
2009-11,11,서울특별시,49729,34324,1392892292
2009-11,26,부산광역시,16931,11463,451258955
2009-11,27,대구광역시,12624,9199,362320880
2009-11,28,인천광역시,12822,8873,327589280
2009-11,29,광주광역시,9987,7246,270391988
2009-11,30,대전광역시,8852,6581,262233610
2009-11,31,울산광역시,6898,4342,167670100
2009-11,36,세종특별자치시,162,116,4133900
2009-11,41,경기도,63052,45085,1720233134
2009-11,42,강원도,6706,4782,172147952
2009-11,43,충청북도,7063,5361,202270950
2009-11,44,충청남도,9306,6596,249632898
2009-11,45,전라북도,9239,6641,240308825
2009-11,46,전라남도,7523,5353,184945201
2009-11,47,경상북도,10193,7502,278581902
2009-11,48,경상남도,15792,11492,430911599
2009-11,50,제주특별자치도,3431,2446,86646150
2009-12,11,서울특별시,52063,33825,1438980298
2009-12,26,부산광역시,17833,11434,470056060
2009-12,27,대구광역시,13355,9207,379135010
2009-12,28,인천광역시,13709,8895,348714770
2009-12,29,광주광역시,10275,7099,274384116
2009-12,30,대전광역시,9061,6484,265008460
2009-12,31,울산광역시,7380,4356,197307801
2009-12,36,세종특별자치시,182,123,4554700
2009-12,41,경기도,67066,44904,1811994283
2009-12,42,강원도,7216,4814,186296084
2009-12,43,충청북도,7647,5392,215681820
2009-12,44,충청남도,9814,6576,259596240
2009-12,45,전라북도,9795,6591,252648540
2009-12,46,전라남도,7898,5342,195017730
2009-12,47,경상북도,11046,7601,298885080
2009-12,48,경상남도,16774,11521,453548390
2009-12,50,제주특별자치도,3463,2382,88960570
2009-99,11,서울특별시,0,138934,0
2009-99,26,부산광역시,0,44984,0
2009-99,27,대구광역시,0,36338,0
2009-99,28,인천광역시,0,33178,0
2009-99,29,광주광역시,0,26783,0
2009-99,30,대전광역시,0,25219,0
2009-99,31,울산광역시,0,16536,0
2009-99,36,세종특별자치시,0,517,0
2009-99,41,경기도,0,170104,0
2009-99,42,강원도,0,17935,0
2009-99,43,충청북도,0,20282,0
2009-99,44,충청남도,0,24367,0
2009-99,45,전라북도,0,24035,0
2009-99,46,전라남도,0,19188,0
2009-99,47,경상북도,0,29055,0
2009-99,48,경상남도,0,41639,0
2009-99,50,제주특별자치도,0,8401,0
2010-01,11,서울특별시,45466,30127,1243560887
2010-01,26,부산광역시,15780,10185,409260525
2010-01,27,대구광역시,11928,8408,339076992
2010-01,28,인천광역시,12367,8106,314191610
2010-01,29,광주광역시,9740,6726,261040859
2010-01,30,대전광역시,7900,5755,231021610
2010-01,31,울산광역시,6048,3746,165175500
2010-01,36,세종특별자치시,161,112,4250500
2010-01,41,경기도,59215,40438,1588769697
2010-01,42,강원도,6379,4362,162248144
2010-01,43,충청북도,6748,4861,189842250
2010-01,44,충청남도,8758,6027,236441910
2010-01,45,전라북도,8762,6030,224662770
2010-01,46,전라남도,7415,5069,184957385
2010-01,47,경상북도,9879,7009,274682622
2010-01,48,경상남도,14972,10474,397234118
2010-01,50,제주특별자치도,3265,2199,84284730
2010-02,11,서울특별시,36526,24680,999209432
2010-02,26,부산광역시,12601,8432,320899300
2010-02,27,대구광역시,9895,7060,284536791
2010-02,28,인천광역시,9733,6714,239647460
2010-02,29,광주광역시,8002,5741,214734322
2010-02,30,대전광역시,6217,4630,174791480
2010-02,31,울산광역시,4632,2966,122897880
2010-02,36,세종특별자치시,143,95,3512700
2010-02,41,경기도,47728,33524,1248984351
2010-02,42,강원도,5260,3687,129943840
2010-02,43,충청북도,5359,4047,147120380
2010-02,44,충청남도,7074,5065,185768247
2010-02,45,전라북도,7116,5074,177850590
2010-02,46,전라남도,6174,4375,149309649
2010-02,47,경상북도,7781,5766,212704634
2010-02,48,경상남도,12267,8880,323901690
2010-02,50,제주특별자치도,2597,1868,63917810
2010-03,11,서울특별시,33140,20321,848244071
2010-03,26,부산광역시,11367,6901,277858750
2010-03,27,대구광역시,8963,5835,241103350
2010-03,28,인천광역시,9256,5706,220387290
2010-03,29,광주광역시,7504,4898,189582603
2010-03,30,대전광역시,5633,3795,151104620
2010-03,31,울산광역시,3926,2310,99854670
2010-03,36,세종특별자치시,99,70,2296100
2010-03,41,경기도,44004,27899,1105708768
2010-03,42,강원도,5085,3160,122581131
2010-03,43,충청북도,4973,3415,132876570
2010-03,44,충청남도,6552,4229,166641600
2010-03,45,전라북도,6698,4255,164033160
2010-03,46,전라남도,5858,3802,139755781
2010-03,47,경상북도,7265,4838,191052540
2010-03,48,경상남도,11424,7492,291572240
2010-03,50,제주특별자치도,2369,1538,56440120
2010-04,11,서울특별시,46024,29963,1256351779
2010-04,26,부산광역시,15619,10012,409748818
2010-04,27,대구광역시,12063,8495,345649888
2010-04,28,인천광역시,11928,7889,301764350
2010-04,29,광주광역시,9150,6330,243462485
2010-04,30,대전광역시,7332,5231,212273670
2010-04,31,울산광역시,5144,3289,140252290
2010-04,36,세종특별자치시,161,125,3683230
2010-04,41,경기도,57917,39310,1554728942
2010-04,42,강원도,6123,4108,154893047
2010-04,43,충청북도,6284,4589,175603330
2010-04,44,충청남도,7762,5373,207723210
2010-04,45,전라북도,8033,5431,207945980
2010-04,46,전라남도,6679,4601,163012355
2010-04,47,경상북도,9359,6531,260227085
2010-04,48,경상남도,13822,9704,368246508
2010-04,50,제주특별자치도,2914,1982,72534720
2010-05,11,서울특별시,67187,40563,1949028810
2010-05,26,부산광역시,22363,13275,619410680
2010-05,27,대구광역시,16672,10705,501446640
2010-05,28,인천광역시,16832,10369,459659590
2010-05,29,광주광역시,12363,8044,345050612
2010-05,30,대전광역시,11135,7357,339102690
2010-05,31,울산광역시,8057,4768,234877420
2010-05,36,세종특별자치시,231,156,5585300
2010-05,41,경기도,81924,52128,2317172810
2010-05,42,강원도,8374,5352,222468920
2010-05,43,충청북도,9097,6093,265219590
2010-05,44,충청남도,10947,7167,309080230
2010-05,45,전라북도,10876,7065,293905900
2010-05,46,전라남도,8802,5763,223403020
2010-05,47,경상북도,12426,8322,362495803
2010-05,48,경상남도,19094,12597,532308780
2010-05,50,제주특별자치도,4000,2553,104668940
2010-06,11,서울특별시,80168,45481,2354899713
2010-06,26,부산광역시,26260,14751,740915200
2010-06,27,대구광역시,19063,11761,587915860
2010-06,28,인천광역시,18557,10921,515785800
2010-06,29,광주광역시,13448,8578,379103047
2010-06,30,대전광역시,12980,8115,402070910
2010-06,31,울산광역시,9794,5365,290920350
2010-06,36,세종특별자치시,263,162,6963800
2010-06,41,경기도,94257,57262,2728576050
2010-06,42,강원도,9424,5694,258820767
2010-06,43,충청북도,10078,6523,301784080
2010-06,44,충청남도,12605,7879,367338360
2010-06,45,전라북도,12127,7638,340556895
2010-06,46,전라남도,9493,6072,248464640
2010-06,47,경상북도,13927,9104,417223627
2010-06,48,경상남도,21099,13533,598697992
2010-06,50,제주특별자치도,4380,2753,117497730
2010-07,11,서울특별시,97549,50812,2863512488
2010-07,26,부산광역시,32516,16555,934256340
2010-07,27,대구광역시,23366,13129,732755130
2010-07,28,인천광역시,22590,11986,631220604
2010-07,29,광주광역시,16757,9556,481633554
2010-07,30,대전광역시,16336,9167,511732200
2010-07,31,울산광역시,12145,6084,362359690
2010-07,36,세종특별자치시,243,152,6418400
2010-07,41,경기도,117374,63948,3434704276
2010-07,42,강원도,11334,6279,311431202
2010-07,43,충청북도,12559,7344,379762450
2010-07,44,충청남도,15172,8752,445425967
2010-07,45,전라북도,15097,8604,433492226
2010-07,46,전라남도,11148,6583,294894146
2010-07,47,경상북도,17049,10066,518678954
2010-07,48,경상남도,25388,14878,739437720
2010-07,50,제주특별자치도,5468,3054,149418610
2010-08,11,서울특별시,101477,53533,2945614713
2010-08,26,부산광역시,34615,18016,982694774
2010-08,27,대구광역시,25282,14117,787811480
2010-08,28,인천광역시,24111,12712,676897070
2010-08,29,광주광역시,18495,10352,543422822
2010-08,30,대전광역시,17647,9914,548668530
2010-08,31,울산광역시,12318,6509,366370860
2010-08,36,세종특별자치시,304,170,8182700
2010-08,41,경기도,125170,68737,3644346090
2010-08,42,강원도,12152,6727,338893712
2010-08,43,충청북도,13618,7880,410128690
2010-08,44,충청남도,16286,9346,480071377
2010-08,45,전라북도,16573,9327,481320845
2010-08,46,전라남도,12576,7072,340561862
2010-08,47,경상북도,18878,10925,574375406
2010-08,48,경상남도,28517,16094,831944980
2010-08,50,제주특별자치도,6306,3340,172020220
2010-09,11,서울특별시,98387,53550,2818647273
2010-09,26,부산광역시,34205,18274,979025550
2010-09,27,대구광역시,24197,14169,738746810
2010-09,28,인천광역시,24030,13037,672997745
2010-09,29,광주광역시,18872,10605,555341935
2010-09,30,대전광역시,17222,10076,524259690
2010-09,31,울산광역시,11881,6464,347056474
2010-09,36,세종특별자치시,316,164,8813800
2010-09,41,경기도,123898,69443,3578244892
2010-09,42,강원도,12100,6817,336397993
2010-09,43,충청북도,13418,8044,398667660
2010-09,44,충청남도,16495,9654,479716215
2010-09,45,전라북도,16887,9506,487398010
2010-09,46,전라남도,12843,7295,343811770
2010-09,47,경상북도,18718,11076,559914655
2010-09,48,경상남도,28929,16612,834603510
2010-09,50,제주특별자치도,6186,3454,171329580
2010-10,11,서울특별시,94885,53100,2707283294
2010-10,26,부산광역시,32143,17900,902193430
2010-10,27,대구광역시,22696,13740,681625880
2010-10,28,인천광역시,23275,13089,636723776
2010-10,29,광주광역시,18705,10692,540475030
2010-10,30,대전광역시,16679,10120,506387170
2010-10,31,울산광역시,11151,6315,322753150
2010-10,36,세종특별자치시,279,167,7295700
2010-10,41,경기도,121766,69630,3491306281
2010-10,42,강원도,12012,6813,331198839
2010-10,43,충청북도,13343,8065,393255950
2010-10,44,충청남도,15878,9559,459565520
2010-10,45,전라북도,16342,9388,461422550
2010-10,46,전라남도,12746,7310,337717322
2010-10,47,경상북도,18000,10998,532454215
2010-10,48,경상남도,28881,16675,819155150
2010-10,50,제주특별자치도,5873,3434,159489660
2010-11,11,서울특별시,85138,49747,2410902540
2010-11,26,부산광역시,29252,16919,812949510
2010-11,27,대구광역시,20972,13105,632000272
2010-11,28,인천광역시,20758,12255,561500620
2010-11,29,광주광역시,16453,10064,472986679
2010-11,30,대전광역시,14895,9601,450063650
2010-11,31,울산광역시,10236,5886,293471820
2010-11,36,세종특별자치시,234,141,6324300
2010-11,41,경기도,107706,65606,3060832527
2010-11,42,강원도,10913,6554,294298244
2010-11,43,충청북도,11721,7584,342759910
2010-11,44,충청남도,14684,9129,420731241
2010-11,45,전라북도,14503,8893,406318230
2010-11,46,전라남도,11580,6941,303576851
2010-11,47,경상북도,16534,10470,487274189
2010-11,48,경상남도,25674,15889,720488430
2010-11,50,제주특별자치도,5299,3222,140673990
2010-12,11,서울특별시,84587,47868,2394194456
2010-12,26,부산광역시,29388,16385,811839520
2010-12,27,대구광역시,21137,12723,634521530
2010-12,28,인천광역시,20770,11836,557842100
2010-12,29,광주광역시,16348,9680,462790281
2010-12,30,대전광역시,14887,9272,448980970
2010-12,31,울산광역시,10456,5779,300995030
2010-12,36,세종특별자치시,207,130,5170300
2010-12,41,경기도,107215,63105,3030174476
2010-12,42,강원도,10751,6318,288050950
2010-12,43,충청북도,11783,7326,343079880
2010-12,44,충청남도,14491,8725,412327253
2010-12,45,전라북도,14578,8582,409250430
2010-12,46,전라남도,11684,6802,304571648
2010-12,47,경상북도,16380,10115,479537786
2010-12,48,경상남도,25844,15399,720210070
2010-12,50,제주특별자치도,5273,3085,140090430
2010-99,11,서울특별시,0,142557,0
2010-99,26,부산광역시,0,46707,0
2010-99,27,대구광역시,0,37327,0
2010-99,28,인천광역시,0,34327,0
2010-99,29,광주광역시,0,28101,0
2010-99,30,대전광역시,0,26084,0
2010-99,31,울산광역시,0,16906,0
2010-99,36,세종특별자치시,0,514,0
2010-99,41,경기도,0,177916,0
2010-99,42,강원도,0,18550,0
2010-99,43,충청북도,0,20820,0
2010-99,44,충청남도,0,25699,0
2010-99,45,전라북도,0,24904,0
2010-99,46,전라남도,0,19727,0
2010-99,47,경상북도,0,29738,0
2010-99,48,경상남도,0,43286,0
2010-99,50,제주특별자치도,0,8555,0
2011-01,11,서울특별시,77236,43912,2170873364
2011-01,26,부산광역시,26363,14923,731152762
2011-01,27,대구광역시,19642,11832,588897070
2011-01,28,인천광역시,19363,11083,523261840
2011-01,29,광주광역시,15729,9244,450178676
2011-01,30,대전광역시,13621,8413,411832630
2011-01,31,울산광역시,9295,5247,267824730
2011-01,36,세종특별자치시,196,122,4800000
2011-01,41,경기도,100046,58738,2824139888
2011-01,42,강원도,10385,5957,278907060
2011-01,43,충청북도,11158,6922,328163870
2011-01,44,충청남도,13803,8233,391770280
2011-01,45,전라북도,13509,7913,382936680
2011-01,46,전라남도,11193,6438,292643346
2011-01,47,경상북도,15469,9485,458895171
2011-01,48,경상남도,24000,14321,670715400
2011-01,50,제주특별자치도,5092,2906,136426060
2011-02,11,서울특별시,61389,37073,1710749362
2011-02,26,부산광역시,20978,12653,580773972
2011-02,27,대구광역시,15678,9973,468732346
2011-02,28,인천광역시,15616,9440,416185580
2011-02,29,광주광역시,12534,7986,356484973
2011-02,30,대전광역시,11394,7374,340099700
2011-02,31,울산광역시,7134,4314,202537950
2011-02,36,세종특별자치시,166,100,4298600
2011-02,41,경기도,80508,50171,2250751014
2011-02,42,강원도,8275,5102,221237779
2011-02,43,충청북도,9107,5966,265011900
2011-02,44,충청남도,11063,7070,310087687
2011-02,45,전라북도,11040,6900,309159651
2011-02,46,전라남도,9140,5633,239576198
2011-02,47,경상북도,12498,8116,366778579
2011-02,48,경상남도,19401,12291,541639050
2011-02,50,제주특별자치도,4062,2539,107708290
2011-03,11,서울특별시,60468,32284,1646905210
2011-03,26,부산광역시,20575,10897,557739890
2011-03,27,대구광역시,15259,8670,449529150
2011-03,28,인천광역시,15330,8289,402589020
2011-03,29,광주광역시,12152,7007,340647430
2011-03,30,대전광역시,10922,6368,319078043
2011-03,31,울산광역시,7090,3741,197111590
2011-03,36,세종특별자치시,161,91,3997300
2011-03,41,경기도,78965,43596,2173190838
2011-03,42,강원도,8199,4525,212398870
2011-03,43,충청북도,8882,5197,253096715
2011-03,44,충청남도,11027,6169,300840805
2011-03,45,전라북도,10693,5982,295562870
2011-03,46,전라남도,8843,4948,227910398
2011-03,47,경상북도,12127,7044,347497232
2011-03,48,경상남도,19205,10787,533986330
2011-03,50,제주특별자치도,3914,2185,102225590
2011-04,11,서울특별시,70272,40982,2357039095
2011-04,26,부산광역시,22994,13541,774439410
2011-04,27,대구광역시,17111,10912,598332980
2011-04,28,인천광역시,17242,10120,518071680
2011-04,29,광주광역시,13678,8377,439372678
2011-04,30,대전광역시,12075,7621,408692040
2011-04,31,울산광역시,8099,4591,267208520
2011-04,36,세종특별자치시,167,101,4315600
2011-04,41,경기도,87644,53318,2884149896
2011-04,42,강원도,8936,5363,264572510
2011-04,43,충청북도,9823,6216,317135930
2011-04,44,충청남도,11747,7353,379921392
2011-04,45,전라북도,11654,7035,364969660
2011-04,46,전라남도,9486,5721,276693242
2011-04,47,경상북도,13528,8475,449493354
2011-04,48,경상남도,20758,12806,679072880
2011-04,50,제주특별자치도,4337,2605,122968740
2011-05,11,서울특별시,80263,46122,2834580054
2011-05,26,부산광역시,26579,15303,931772685
2011-05,27,대구광역시,19661,12245,723997504
2011-05,28,인천광역시,19515,11357,613530880
2011-05,29,광주광역시,15133,9276,497994142
2011-05,30,대전광역시,13812,8638,489949940
2011-05,31,울산광역시,9878,5413,340472200
2011-05,36,세종특별자치시,185,115,4967700
2011-05,41,경기도,99422,60066,3438610313
2011-05,42,강원도,10288,6091,318814680
2011-05,43,충청북도,11112,7059,379125652
2011-05,44,충청남도,13978,8562,471337753
2011-05,45,전라북도,13315,8127,429031500
2011-05,46,전라남도,10613,6367,319894560
2011-05,47,경상북도,15137,9501,526345824
2011-05,48,경상남도,23434,14383,803931840
2011-05,50,제주특별자치도,4900,2925,145260840
2011-06,11,서울특별시,84936,47619,3057102465
2011-06,26,부산광역시,27903,15639,1004614352
2011-06,27,대구광역시,20524,12544,772796270
2011-06,28,인천광역시,20449,11779,656389976
2011-06,29,광주광역시,15583,9488,529069391
2011-06,30,대전광역시,14429,8821,524329820
2011-06,31,울산광역시,10580,5579,372375240
2011-06,36,세종특별자치시,205,124,4974800
2011-06,41,경기도,103471,61133,3644460424
2011-06,42,강원도,10439,6183,329127870
2011-06,43,충청북도,11389,7167,391637380
2011-06,44,충청남도,14694,8813,507244676
2011-06,45,전라북도,14019,8320,465067658
2011-06,46,전라남도,10756,6482,332411187
2011-06,47,경상북도,16011,9741,571021096
2011-06,48,경상남도,23882,14573,845722965
2011-06,50,제주특별자치도,5029,3000,153469900
2011-07,11,서울특별시,92305,49575,3542052568
2011-07,26,부산광역시,30868,16529,1197742687
2011-07,27,대구광역시,22427,13080,911798884
2011-07,28,인천광역시,21982,12224,779847276
2011-07,29,광주광역시,16925,9879,632789684
2011-07,30,대전광역시,15508,9188,622533228
2011-07,31,울산광역시,11713,5964,443739210
2011-07,36,세종특별자치시,202,126,6347700
2011-07,41,경기도,110600,63079,4248668474
2011-07,42,강원도,10849,6338,385044980
2011-07,43,충청북도,12414,7467,466953968
2011-07,44,충청남도,15183,9006,577439331
2011-07,45,전라북도,14648,8634,549463553
2011-07,46,전라남도,11280,6660,380410306
2011-07,47,경상북도,16781,10128,649905470
2011-07,48,경상남도,25303,15115,973639464
2011-07,50,제주특별자치도,5429,3157,181116000
2011-08,11,서울특별시,97747,51523,3827353128
2011-08,26,부산광역시,33962,17535,1341280038
2011-08,27,대구광역시,24688,13811,1018189182
2011-08,28,인천광역시,23245,12679,863451730
2011-08,29,광주광역시,17692,10334,699346263
2011-08,30,대전광역시,16246,9506,679080660
2011-08,31,울산광역시,12373,6292,474886719
2011-08,36,세종특별자치시,184,119,5466300
2011-08,41,경기도,117749,65364,4662572924
2011-08,42,강원도,11182,6484,418179798
2011-08,43,충청북도,13011,7591,527880395
2011-08,44,충청남도,16430,9407,650843072
2011-08,45,전라북도,15547,8925,623998277
2011-08,46,전라남도,11626,6796,426284241
2011-08,47,경상북도,18309,10623,733518120
2011-08,48,경상남도,27154,15624,1100072852
2011-08,50,제주특별자치도,5932,3310,209455270
2011-09,11,서울특별시,96323,52000,3731644405
2011-09,26,부산광역시,32917,17770,1291027036
2011-09,27,대구광역시,24367,14057,984765000
2011-09,28,인천광역시,23452,12848,881869050
2011-09,29,광주광역시,18060,10597,725443400
2011-09,30,대전광역시,16618,9757,696559548
2011-09,31,울산광역시,12194,6502,465534280
2011-09,36,세종특별자치시,217,130,7349350
2011-09,41,경기도,117733,66620,4636684495
2011-09,42,강원도,11538,6581,448888600
2011-09,43,충청북도,13047,7624,526226854
2011-09,44,충청남도,16345,9521,657511464
2011-09,45,전라북도,15355,8926,628816946
2011-09,46,전라남도,11952,6923,436517392
2011-09,47,경상북도,18341,10909,729224448
2011-09,48,경상남도,27862,16158,1121971634
2011-09,50,제주특별자치도,5855,3337,215701300
2011-10,11,서울특별시,90494,51109,3448175935
2011-10,26,부산광역시,30113,17272,1157433349
2011-10,27,대구광역시,23006,13873,912213090
2011-10,28,인천광역시,22205,12630,786702240
2011-10,29,광주광역시,17646,10567,692237022
2011-10,30,대전광역시,16242,9824,655256667
2011-10,31,울산광역시,11114,6287,420781240
2011-10,36,세종특별자치시,218,129,8319600
2011-10,41,경기도,113215,66469,4345337796
2011-10,42,강원도,11325,6610,423729063
2011-10,43,충청북도,12763,7737,504735623
2011-10,44,충청남도,15635,9467,609913957
2011-10,45,전라북도,14895,8936,577583902
2011-10,46,전라남도,12159,7051,444079542
2011-10,47,경상북도,17629,10839,698083233
2011-10,48,경상남도,26419,15991,1038437110
2011-10,50,제주특별자치도,5930,3439,212192120
2011-11,11,서울특별시,83581,48881,3145662653
2011-11,26,부산광역시,28252,16526,1043748714
2011-11,27,대구광역시,21305,13346,825047330
2011-11,28,인천광역시,21228,12441,730050550
2011-11,29,광주광역시,16625,10299,623935651
2011-11,30,대전광역시,15104,9473,581418723
2011-11,31,울산광역시,10625,6096,395258980
